location,price,type_of_flat
" ул. Маковского, 26 Одинцово",3000засутки,"2-к квартира, 48 м², 4/25 эт."
" Союзная ул., 10 Одинцово",1550засутки,"1-к квартира, 38 м², 3/12 эт."
" Северная ул., 7 Одинцово",35000вмесяц,"2-к квартира, 41 м², 18/18 эт.Онлайн-показ"
 61 д. Глазынино,2000засутки,"2-к квартира, 40 м², 2/3 эт."
" микрорайон Новая Трёхгорка, Кутузовская ул., 72А Одинцово",1700засутки,"Студия, 39 м², 2/25 эт."
" Сосновая ул., 14 Одинцово",35000вмесяц,"3-к квартира, 64 м², 11/12 эт.Онлайн-показ"
" Вокзальная ул., 3 Одинцово",1450засутки,"1-к квартира, 39 м², 3/9 эт."
" Можайское ш., 34 Одинцово",1600засутки,"1-к квартира, 45 м², 5/17 эт."
" Северная ул., 5к4 Одинцово",1900засутки,"1-к квартира, 48 м², 7/25 эт."
" Можайское ш., 26 Одинцово",1500засутки,"1-к квартира, 31 м², 3/5 эт."
" Белорусская ул., 10 Одинцово",23000вмесяц,"Студия, 25 м², 18/18 эт.Онлайн-показ"
" Каштановая ул., 10 Одинцово",1500засутки,"Студия, 35 м², 20/24 эт."
" ул. Маршала Неделина, 9 Одинцово",33000вмесяц,"2-к квартира, 52 м², 3/9 эт."
" ул. Маршала Бирюзова, 10к1 Одинцово",1600засутки,"1-к квартира, 42 м², 2/14 эт."
" микрорайон Новая Трёхгорка, Кутузовская ул., 1 Одинцово",60000вмесяц,"4-к квартира, 90 м², 12/24 эт."
 64 д. Глазынино,2500засутки,"2-к квартира, 50 м², 2/3 эт."
" Гвардейская ул., 9 Одинцово",1800засутки,"1-к квартира, 42 м², 10/22 эт."
" ул. Говорова, 7 Одинцово",50000вмесяц,"3-к квартира, 87 м², 2/7 эт.Онлайн-показ"
" ул. Чистяковой, 58 Одинцово",1500засутки,"1-к квартира, 46 м², 6/17 эт."
" ул. Чистяковой, 18 Одинцово",65000вмесяц,"4-к квартира, 102 м², 19/23 эт.Онлайн-показ"
" Сколковская ул., 1Б Одинцово",1700засутки,"1-к квартира, 33 м², 2/27 эт."
 ул Белорусская Одинцово,1600засутки,"Студия, 42 м², 7/22 эт."
" Можайское ш., 122 Одинцово",26000вмесяц,"1-к квартира, 30 м², 4/22 эт."
" ул Белорусская, 11 Одинцово",1500засутки,"Студия, 37 м², 10/25 эт."
" ул. Маковского, 26 Одинцово",2700засутки,"2-к квартира, 45 м², 22/25 эт."
 микрорайон Новая Трёхгорка Одинцово,25000вмесяц,"1-к квартира, 40 м², 19/20 эт.Онлайн-показ"
" Триумфальная ул., 10 Одинцово",37000вмесяц,"2-к квартира, 66 м², 2/17 эт."
" ул. Маковского, 26 Одинцово",7000вмесяц,"1-к квартира, 47 м², 18/24 эт."
" Триумфальная ул., 12 Одинцово",37000вмесяц,"2-к квартира, 65 м², 10/17 эт."
" Берёзовая ул., 8 пос. ВНИИССОК",1500засутки,"2-к квартира, 57 м², 13/14 эт."
