price,flat_type,size,flat_floor,builing_floor,street,number_of_building,building_area
3730000,Студия,22.8,7,24,ул.Эйнштейна,стр.1,Новоивановское
4700000,1-к квартира,38.0,14,24,ул.Эйнштейна,стр.2,Новоивановское
4850000,1-к квартира,34.6,11,15,ул.Эйнштейна,стр.1,Новоивановское
4080000,Студия,25.5,2,14,ул.Эйнштейна,стр.2,Москва
4800000,1-к квартира,34.2,22,22,ул.Эйнштейна,стр.1,Новоивановское
4750000,1-к квартира,34.6,3,15,ул.Эйнштейна,стр.2,Новоивановское
3200000,Студия,19.2,14,24,ул.Эйнштейна,стр.1,Новоивановское
6600000,2-к квартира,57.0,11,15,ул.Эйнштейна,стр.1,Новоивановское
6399000,2-к квартира,54.0,3,22,ул.Эйнштейна,стр.1,Новоивановское
3750000,Студия,23.0,15,16,ул.Эйнштейна,стр.3,Москва
4600000,1-к квартира,32.0,12,22,ул.Эйнштейна,стр.1,Новоивановское
3800000,Студия,22.0,15,22,ул.Эйнштейна,стр.2,Новоивановское
5300000,1-к квартира,40.0,6,22,ул.Эйнштейна,стр.2,Москва
4100000,Студия,23.0,16,25,овациярабочийпос.Новоивановское,,
6900000,2-к квартира,57.1,12,15,ул.Эйнштейна,стр.1,Новоивановское
4850000,1-к квартира,35.0,3,22,ул.Эйнштейна,стр.1,Новоивановское
3700000,Студия,19.5,5,14,ул.Эйнштейна,стр.1,Новоивановское
3800000,Студия,22.3,10,25,ул.Эйнштейна,стр.3,Новоивановское
6000000,1-к квартира,42.0,14,22,ул.Эйнштейна,стр.2,Новоивановское
4600000,1-к квартира,31.8,16,22,ул.Эйнштейна,стр.1,Новоивановское
2500000,Студия,30.0,3,3,ул.Эйнштейна,стр.1,Новоивановское
3690000,Студия,24.1,6,22,ул.Эйнштейна,стр.2,Москва
5400000,1-к квартира,40.4,13,24,ул.Эйнштейна,стр.1,Новоивановское
7350000,2-к квартира,54.7,21,22,ул.Эйнштейна,стр.1,Новоивановское
7270000,2-к квартира,53.1,15,15,ул.Эйнштейна,стр.3,Москва
4250000,Студия,24.0,3,25,ул.Эйнштейна,стр.3,Москва
3800000,Студия,25.0,15,24,ул.Эйнштейна,стр.2,Москва
4920000,1-к квартира,31.5,3,25,ул.Эйнштейна,стр.3,Москва
6800000,2-к квартира,52.0,13,22,ул.Эйнштейна,стр.2,Москва
7400000,2-к квартира,54.1,4,8,я»п.Сосенское,пос.Коммунарка,"стр.4.2,Москва"
