Title,Size (m²),Zone,Status,Description
T2 com terraço 22m2 para recuperar na Tapada das Mercês,87.0,Tapada da Mercês,Por recuperar,"Imóvel de 3 ass. com terraço 22m2 situado num 1º andar, a necessitar de remodelação total, com cozinha 12m2, hall 6m2, sala 17m2, quartos 12+13m2, com roupeiro e varanda , wc"
"T2 Triplex no centro da Parede, com vista mar e terraço",128.0,Carcavelos e Parede,Usado,"Prédio em betão armado em bom estado de conservação. Entrada pelo R/C. No 1º andar: cozinha, sala com vista de mar.uma casa de banho e um hall com escadas para o 2º andar. Neste piso tem 1 quarto com casa de banho e um "
T1 Oeiras - Figueirinha,57.0,Figueirinha (Oeiras e São Julião Barra),Usado,"Apartamento em excelente estado e com muita luz. 2º andar em prédio com elevador. Escolas, PSP, comércio e serviços. Marque a sua vi"
T3 remodelado e a estrear com terraço 36m2 na Ericeira,136.0,Ericeira,Recuperado,"Imóvel de 3 ass. com terraço 36m2, totalmente remodelado e a estrear, incluindo canalização e sistema elétrico, com cozinha americana semiequipada, hall 6m2, sala 30m2, quartos 16+18m2, suite12m2, com roupeiros e varanda "
Apartamento T3 com 2 parqueamentos na Quinta Nova em Odivelas,154.0,Quinta Nova,Usado,Apartamento T3 na Quinta Nova em Odivelas  Referência: JPR1910  Apartamento composto por:  - Cozinha com despensa. - Sala ampla com duas zonas distintas: zona de estar e zona de refeições. - Dois quartos com roupeiros 
,99.0,Alto da Faia,Renovado,"T2 remodelado, no Alto da Faia em Telheiras para Arrendamento.Andar no 7º e ultimo andar com vista desafogada. Edifício com 2 elevadores.  Localizado na Rua Prof. Queiros veloso a 7 minutos a pé do Metro de Telheiras , "
"Apartamento T3, com vistas desafogadas, na Venda Nova, Amadora",91.0,Centro (Venda Nova),Usado,"Fantástico apartamento T3 (com 4 divisões), pronto a habitar, com vistas desafogadas, na Venda Nova, próximo de comércio e serviços e da estação de Amadora-Este.  Este apartamento situado numa das principais artérias da "
"T3 remodelado a estrear, grandes varandas e arrecadação",97.0,Centro (Sacavém),Recuperado,"T3 renovado a estrear, em prédio da década de 60 de betão armado, em bom estado de conservação e muito elegante.   A remodelação no imóvel foi integral, nomeadamente ao nível das canalizações, electricidade, caixilharia e "
Apartamento T2 Duplex Travessa da Marquesa/Parede,130.0,Parede,Usado,"Apartamento de 3 assoalhadas divididas em três pisos com 112 m2 de área bruta privativa, e 18 m2 de área bruta dependente (terraço e varanda).  Composto por: - rés chão, onde se entra no apartamento; - 1 º andar com cozinha, "
Fantástico Apartamento T2 Parqueamento Colinas do Cruzeiro,115.0,Odivelas,Usado,"Fantástico apartamento T2 com parqueamento, completamente equipado, num 5º andar em prédio com 2 elevadores, com varanda, nas Colinas do Cruzeiro, Odivelas.  A localização é excelente, com comércio, transportes e serviços na "
"Ajuda, Rua do Cruzeiro. T2 para recuperar a gosto inserido em prédio de betão armado com 2 elevadores.",70.0,Ajuda,Por recuperar,"Ajuda, Rua do Cruzeiro. T2 para recuperar a gosto inserido em prédio de betão armado com 2 elevadores. 1º piso com muita luz natural e vistas desafogadas.  Boas áreas, muita luz natural. Excelente oportunidade de "
"T1 remodelado, com boas áreas, excelente exposição solar",-,São Domingos de Benfica,Recuperado,"T1 totalmente recentemente remodelado (incluído canalização e instalação eléctrica), com excelente exposição solar (sul, poente), boas áreas, num 1º andar (em prédio sem elevador) e de fácil estacionamento à porta.  Em "
"Apartamento T1+ 1 no Monte Abraão, Queluz",80.0,Queluz (Monte Abraão),Usado,"Apartamento T1+ 1 no Monte Abraão com muito boas áreas Cave a nível de 3º andar , num prédio de 4 Pisos. Composto por : Uma Cozinha, dois quartos com dois  roupeiros, Hall Wc , sala e despensa. Perto do posto de saúde , "
T2 no centro do Cacém - Sintra. Com quintal de 87 m²,65.0,Centro (Cacém),Usado,"Apartamento de 3 assoalhadas com exposição Nascente/Poente a necessitar de algumas obras de remodelação.  É um rés do chão inserido em prédio sem elevador.  Localizado no centro do Cacém, com excelentes acessos, transportes "
,65.0,Odivelas,Usado,Apartamento com excelente localização. Tendo todo o tipo de comércio e serviços nos arredores. Fica num 2º andar em prédio sem elevador. Marque sua visita.;ID RE/MAX:  (tele
,102.0,Queluz e Belas,Usado,"!!!!!OPORTUNIDADAE!!!!Apartamento com 5 assoalhadas com quintal.  Este apartamento esta distribuido da seguinte forma 1 Sala,1 cozinha, 4 quartos e 1 casa de banho, imóvel parcialmente atualizado em perfeitas condições para "
Vende-se excelente T3 na Falagueira próximo do Metro da Amadora,80.0,Centro (Falagueira),Renovado,"RESPOSTA CONVERGENTE - A IMOBILIÁRIA AMI 9465  Comercializado por CONVERGENTE VENTEIRA ( AMI 12846 ) A abrir portas aos nossos clientes desde 2012  DESCRIÇÃO DO IMÓVEL:  Apartamento remodelado, com excelente localização "
T3+1 Renovado com Varanda,137.0,Gago Coutinho (Alvalade),Recuperado,"T3+1* renovado recentemente, com boas áreas (T5 de origem), situado na Av. Gago Coutinho com EUA, perto de todo o tipo de comércio (Av. Roma e João XXI a 5m a pé) e a 500m do metro do Areeiro.   Sala com acesso a uma "
"T0, em empreendimento novo no Príncipe Real",40.0,Príncipe Real (Mercês),Novo,"Empreendimento pronto a ser escriturado!  Apartamento T0, inserido em empreendimento novo (a estrear) no Príncipe Real.  Cozinha equipada;  Ar condicionado;  Caixilharia com vidros duplos com corte térmico e acústico já com "
"T1 +1, em empreendimento novo no Príncipe Real",107.0,Príncipe Real (Mercês),Novo,"Empreendimento pronto a ser escriturado!  Apartamento T1+1, inserido em empreendimento novo (a estrear) no Príncipe Real.  Cozinha equipada;  Ar condicionado;  Caixilharia com vidros duplos com corte térmico e acústico já "
"Apartamento T2 duplex em Lisboa, Largo do Conde Barão",172.0,Conde Barão (São Paulo),Novo,"Empreendimento localizado no Largo Conde Barão - Conde Barão. Prédio totalmente remodelado, composto por apartamentos de tipologias T2, T2 e T3 duplex com vista sobre a cidade.  - Propriedade localizada no Largo Conde Barão. "
Apartamento t2 Duplex Algueirão Velho,104.0,Algueirão Velho,Usado,"Apartamento situado , no Algueirão Velho perto, do Campo da Bola do Algueirão, 4. Andar e ultimo do predio, com sotão aproveitado para um Duplex. Vistas desafogadas, estacionamento em frente do predio. Sem elevador. Marquise "
Apartamento T3 com 2 parqueamentos na Quinta Nova em Odivelas,154.0,Quinta Nova,Usado,Apartamento T3 na Quinta Nova em Odivelas  Referência: JPR1910  Apartamento composto por:  - Cozinha com despensa. - Sala ampla com duas zonas distintas: zona de estar e zona de refeições. - Dois quartos com roupeiros 
,75.0,Azambuja,Usado,"Apartamento T2 remodelado no centro de Azambuja, perto da estação de comboios, supermercado, farmácia, correios zona de fácil estacionamento. Gás Natural, Ar Condicionado, Lareira, vista desafo"
"Excelente apartamento T2 triplex com 111 m2, na Parede.",111.0,Parede,Usado,"Excelente apartamento T2 triplex com 111 m2, na Parede.  O 1° andar é composto por cozinha com placa, forno, exaustor e termoacumulador; zona de refeições, sala e wc.  2° andar é composto por hall grande com roupeiro, "
"Apartamento T2 com box e arrecadação nas Colinas do Cruzeiros, Odivelas",174.0,Colinas do Cruzeiro,Usado,"Apartamento T2 com box e arrecadação nas Colinas do Cruzeiros, Odivelas  EM EXCLUSIVO NA LISKASAS  Referência: CZ1909  Apartamento com área privativa de 112.90m², composto por:  - Cozinha equipada  - Sala ampla com 27m².  - "
T2 com terraço 22m2 para recuperar na Tapada das Mercês,87.0,Tapada da Mercês,Por recuperar,"Imóvel de 3 ass. com terraço 22m2 situado num 1º andar, a necessitar de remodelação total, com cozinha 12m2, hall 6m2, sala 17m2, quartos 12+13m2, com roupeiro e varanda , wc"
"T2 Triplex no centro da Parede, com vista mar e terraço",128.0,Parede,Usado,"Prédio em betão armado em bom estado de conservação. Entrada pelo R/C. No 1º andar: cozinha, sala com vista de mar.uma casa de banho e um hall com escadas para o 2º andar. Neste piso tem 1 quarto com casa de banho e um "
T1 Oeiras - Figueirinha,57.0,Figueirinha (Oeiras e São Julião Barra),Usado,"Apartamento em excelente estado e com muita luz. 2º andar em prédio com elevador. Escolas, PSP, comércio e serviços. Marque a sua vi"
T3 remodelado e a estrear com terraço 36m2 na Ericeira,136.0,Ericeira,Recuperado,"Imóvel de 3 ass. com terraço 36m2, totalmente remodelado e a estrear, incluindo canalização e sistema elétrico, com cozinha americana semiequipada, hall 6m2, sala 30m2, quartos 16+18m2, suite12m2, com roupeiros e varanda "
,99.0,Alto da Faia,Renovado,"T2 remodelado, no Alto da Faia em Telheiras para Arrendamento.Andar no 7º e ultimo andar com vista desafogada. Edifício com 2 elevadores.  Localizado na Rua Prof. Queiros veloso a 7 minutos a pé do Metro de Telheiras , "
"Apartamento T3, com vistas desafogadas, na Venda Nova, Amadora",91.0,Centro (Venda Nova),Usado,"Fantástico apartamento T3 (com 4 divisões), pronto a habitar, com vistas desafogadas, na Venda Nova, próximo de comércio e serviços e da estação de Amadora-Este.  Este apartamento situado numa das principais artérias da "
"T3 remodelado a estrear, grandes varandas e arrecadação",97.0,Centro (Sacavém),Recuperado,"T3 renovado a estrear, em prédio da década de 60 de betão armado, em bom estado de conservação e muito elegante.   A remodelação no imóvel foi integral, nomeadamente ao nível das canalizações, electricidade, caixilharia e "
